Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,2.1,64,1.0,2730
Ardabil Province,2.4,72,1.2,922
Bushehr Province,2.3,69,1.1,816
Chaharmahal and Bakhtiyari Province,2.9,87,1.46,849
East Azerbaijan Province,3.2,96,1.63,3768
Fars Province,2.2,66,1.0,3390
Gilan Province,2.0,60,0.9,1541
Golestan Province,2.8,84,1.3,1694
Hamadan Province,2.3,69,1.18,1220
Hormozgan Province,2.1,63,0.95,1271
Ilam Province,2.4,72,1.1,428
Isfahan Province,2.4,73,1.22,3749
Kerman Province,2.0,60,0.9,2048
Kermanshah Province,2.1,63,1.0,1259
Khuzestan Province,2.2,66,1.0,3376
Kohgiluye and Buyer Ahmad Province,2.1,63,1.05,478
Kurdistan Province,2.3,69,1.1,1165
Lorestan Province,2.2,66,1.0,1183
Markazi Province,1.9,57,0.85,836
Mazandaran Province,2.1,63,0.95,2151
North Khorasan Province,2.3,69,1.14,600
Qazvin Province,2.2,66,1.08,888
Qom Province,1.8,54,0.82,785
Razavi Khorasan,2.1,63,0.95,4479
Semnan Province,2.0,60,0.9,472
Sistan and Baluchestan Province,2.7,81,1.25,2657
South Khorasan Province,2.2,66,1.05,557
Tehran Province,1.7,51,0.76,7357
West Azerbaijan Province,2.5,75,1.15,2647
Yazd Province,2.0,60,0.9,788
Zanjan Province,2.4,72,1.17,806
