Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,41.5,439.0,3.1,11984
Ardabil Province,40.2,420.5,3.4,5399
Bushehr Province,40.8,425.8,3.2,4998
Chaharmahal and Bakhtiyari Province,40.1,418.2,2.8,4069
East Azerbaijan Province,39.8,415.3,4.7,16300
Fars Province,49.0,520.9,3.5,25544
Gilan Province,40.3,421.4,3.3,10728
Golestan Province,40.5,423.1,3.6,8009
Hamadan Province,40.4,422.6,3.4,7420
Hormozgan Province,39.9,416.7,3.2,7525
Ilam Province,40.2,419.8,3.5,2481
Isfahan Province,40.7,425.0,3.3,21828
Kerman Province,40.6,424.3,4.3,13509
Kermanshah Province,40.3,421.6,3.4,8444
Khuzestan Province,40.4,422.8,3.5,19977
Kohgiluye and Buyer Ahmad Province,40.0,417.5,2.7,3039
Kurdistan Province,40.1,419.1,3.2,6764
Lorestan Province,40.2,420.3,3.3,7498
Markazi Province,40.5,423.5,3.1,6081
Mazandaran Province,41.8,439.5,3.4,14512
North Khorasan Province,40.8,426.2,3.6,3699
Qazvin Province,40.6,424.7,3.2,5453
Qom Province,40.4,422.9,3.1,5497
Razavi Khorasan,40.5,423.2,3.3,27271
Semnan Province,40.3,421.1,3.2,3010
Sistan and Baluchestan Province,38.7,398.7,3.4,11071
South Khorasan Province,38.4,398.4,3.3,3131
Tehran Province,40.2,419.8,2.8,55929
West Azerbaijan Province,38.5,401.8,4.9,13171
Yazd Province,40.1,418.5,3.1,4837
Zanjan Province,40.3,421.0,3.4,4643
