Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,2.19,169.2,0.48,1155
Ardabil Province,6.43,516.8,1.4,1659
Bushehr Province,0.82,60.6,0.17,178
Chaharmahal and Bakhtiyari Province,0.2,12.7,0.0,31
East Azerbaijan Province,2.46,201.1,0.56,1973
Fars Province,4.63,353.7,1.0,4336
Gilan Province,5.54,415.7,1.18,2646
Golestan Province,4.73,392.6,1.11,1858
Hamadan Province,2.7,210.3,0.57,923
Hormozgan Province,0.09,6.9,0.0,31
Ilam Province,6.69,561.1,1.52,829
Isfahan Province,2.48,191.4,0.55,2457
Kerman Province,2.1,166.2,0.47,1323
Kermanshah Province,2.47,196.9,0.55,986
Khuzestan Province,2.8,226.6,0.63,2677
Kohgiluye and Buyer Ahmad Province,2.2,184.6,0.41,336
Kurdistan Province,2.3,189.8,0.5,766
Lorestan Province,2.5,202.2,0.56,902
Markazi Province,2.1,160.7,0.42,577
Mazandaran Province,6.63,494.7,1.39,4084
North Khorasan Province,2.4,193.5,0.46,420
Qazvin Province,2.2,170.1,0.47,546
Qom Province,2.0,141.8,0.38,461
Razavi Khorasan,2.3,179.2,0.51,2887
Semnan Province,2.1,158.3,0.42,283
Sistan and Baluchestan Province,1.8,158.7,0.43,1102
South Khorasan Province,1.9,160.3,0.38,315
Tehran Province,2.15,151.6,0.43,5050
West Azerbaijan Province,2.5,207.6,0.58,1701
Yazd Province,2.0,148.8,0.35,430
Zanjan Province,2.6,205.6,0.54,567
