Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,1277.1,2120.0,252.0,57876
Ardabil Province,1459.5,2160.0,288.0,27734
Bushehr Province,1337.9,2080.0,264.0,24419
Chaharmahal and Bakhtiyari Province,1577.9,2160.0,311.4,21016
East Azerbaijan Province,1398.7,2080.0,276.0,81640
Fars Province,1216.3,1952.6,240.0,95755
Gilan Province,1337.9,2120.0,264.0,53975
Golestan Province,1459.5,2160.0,288.0,40888
Hamadan Province,1562.8,2160.0,308.4,37929
Hormozgan Province,1277.1,2080.0,252.0,37564
Ilam Province,1398.7,2120.0,276.0,12529
Isfahan Province,1277.1,2120.0,252.0,108883
Kerman Province,1216.3,2080.0,240.0,66227
Kermanshah Province,1337.9,2120.0,264.0,42463
Khuzestan Province,1277.1,2235.7,252.0,105634
Kohgiluye and Buyer Ahmad Province,1626.2,2160.0,320.9,15724
Kurdistan Province,1337.9,2080.0,264.0,33571
Lorestan Province,1398.7,2120.0,276.0,37820
Markazi Province,1054.9,2245.1,208.2,32239
Mazandaran Province,1277.1,2120.0,252.0,70002
North Khorasan Province,1337.9,2240.2,264.0,19445
Qazvin Province,1277.1,2120.0,252.0,27220
Qom Province,1216.3,2080.0,240.0,27040
Razavi Khorasan,1155.5,2080.0,228.0,134035
Semnan Province,1216.3,2120.0,240.0,15158
Sistan and Baluchestan Province,1277.1,1978.1,252.0,54930
South Khorasan Province,1155.5,2120.9,228.0,16670
Tehran Province,656.5,2062.9,129.6,274842
West Azerbaijan Province,1337.9,2014.4,264.0,66033
Yazd Province,1058.7,2254.6,208.9,26063
Zanjan Province,1277.1,2162.8,252.0,23855
