Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,219.1,1739,1.4,47474
Ardabil Province,215.7,1961,2.4,25179
Bushehr Province,210.9,1850,2.1,21719
Chaharmahal and Bakhtiyari Province,205.8,1906,2.4,18540
East Azerbaijan Province,221.0,1906,2.0,74790
Fars Province,222.5,1794,1.6,88002
Gilan Province,229.9,2017,2.3,51340
Golestan Province,209.6,1906,2.3,36071
Hamadan Province,219.6,1961,2.3,34435
Hormozgan Province,201.0,1794,2.1,32408
Ilam Province,202.0,1906,2.5,11261
Isfahan Province,225.7,1850,1.7,95016
Kerman Province,217.2,1906,2.1,60671
Kermanshah Province,213.4,1906,2.2,38167
Khuzestan Province,218.3,1850,1.9,87412
Kohgiluye and Buyer Ahmad Province,209.7,2017,2.7,14680
Kurdistan Province,209.6,1906,2.3,30754
Lorestan Province,215.7,1961,2.4,34984
Markazi Province,221.0,1906,2.0,27362
Mazandaran Province,233.9,2017,2.2,66584
North Khorasan Province,211.8,1961,2.5,17021
Qazvin Province,210.9,1850,2.1,23754
Qom Province,208.7,1739,1.7,22607
Razavi Khorasan,218.3,1850,1.9,119214
Semnan Province,217.2,1906,2.1,13624
Sistan and Baluchestan Province,192.4,1850,2.5,51374
South Khorasan Province,202.0,1906,2.5,14977
Tehran Province,235.7,1684,0.8,224292
West Azerbaijan Province,213.4,1906,2.2,62462
Yazd Province,221.0,1906,2.0,22027
Zanjan Province,215.7,1961,2.4,21629
