Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,570.7,2853,51.4,77896
Ardabil Province,851.2,4256,76.6,54647
Bushehr Province,569.1,2845,51.2,33404
Chaharmahal and Bakhtiyari Province,619.5,3097,55.8,30137
East Azerbaijan Province,693.1,3465,62.4,136014
Fars Province,487.2,2436,43.8,119461
Gilan Province,700.0,3500,63.0,89110
Golestan Province,828.0,4140,74.5,78370
Hamadan Province,697.6,3488,62.8,61249
Hormozgan Province,520.8,2604,46.9,47028
Ilam Province,631.7,3159,56.9,18667
Isfahan Province,557.3,2787,50.2,143123
Kerman Province,607.2,3036,54.6,96666
Kermanshah Province,680.8,3404,61.3,68182
Khuzestan Province,745.1,3725,67.1,176022
Kohgiluye and Buyer Ahmad Province,780.0,3900,70.2,28392
Kurdistan Province,705.3,3527,63.5,56920
Lorestan Province,761.6,3808,68.5,67934
Markazi Province,496.8,2484,44.7,35670
Mazandaran Province,806.7,4033,72.6,133180
North Khorasan Province,825.6,4128,74.3,35831
Qazvin Province,522.1,2611,47.0,33520
Qom Province,400.0,2000,36.0,26000
Razavi Khorasan,498.7,2493,44.9,160670
Semnan Province,558.1,2791,50.2,19953
Sistan and Baluchestan Province,721.6,3608,64.9,100194
South Khorasan Province,484.5,2423,43.6,19042
Tehran Province,390.1,1951,35.1,259887
West Azerbaijan Province,803.5,4017,72.3,131688
Yazd Province,509.1,2545,45.8,29424
Zanjan Province,800.0,4000,72.0,44120
