Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,15.6,208,1.1,5688
Ardabil Province,18.4,249,1.5,3197
Bushehr Province,17.2,231,1.3,2712
Chaharmahal and Bakhtiyari Province,16.5,227,1.4,2207
East Azerbaijan Province,17.8,241,1.4,9445
Fars Province,16.4,220,1.2,10804
Gilan Province,20.4,272,1.5,6932
Golestan Province,17.1,234,1.4,4425
Hamadan Province,18.4,249,1.5,4372
Hormozgan Province,15.3,209,1.2,3774
Ilam Province,15.8,220,1.4,1300
Isfahan Province,17.8,237,1.2,12189
Kerman Province,17.1,234,1.4,7443
Kermanshah Province,17.1,234,1.4,4682
Khuzestan Province,17.2,231,1.3,10918
Kohgiluye and Buyer Ahmad Province,17.3,240,1.6,1747
Kurdistan Province,16.5,227,1.4,3662
Lorestan Province,17.6,242,1.5,4309
Markazi Province,18.5,248,1.3,3554
Mazandaran Province,20.4,272,1.5,8991
North Khorasan Province,17.6,242,1.5,2096
Qazvin Province,17.2,231,1.3,2966
Qom Province,15.0,203,1.1,2642
Razavi Khorasan,16.5,225,1.3,14486
Semnan Province,18.5,248,1.3,1769
Sistan and Baluchestan Province,15.0,193,1.3,5372
South Khorasan Province,15.8,220,1.4,1729
Tehran Province,15.1,200,1.0,26603
West Azerbaijan Province,17.1,234,1.4,7663
Yazd Province,18.5,248,1.3,2861
Zanjan Province,17.6,242,1.5,2664
