Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,233.9,2339,10.0,63842
Ardabil Province,519.2,5192,22.2,66660
Bushehr Province,218.7,2187,9.4,25679
Chaharmahal and Bakhtiyari Province,345.9,3459,14.8,33660
East Azerbaijan Province,394.0,3940,16.9,154642
Fars Province,173.0,1730,7.4,84825
Gilan Province,368.5,3685,15.8,93815
Golestan Province,567.8,5678,24.3,107492
Hamadan Province,392.0,3920,16.8,68839
Hormozgan Province,201.4,2014,8.6,36368
Ilam Province,356.4,3564,15.3,21064
Isfahan Province,211.7,2117,9.1,108718
Kerman Province,265.2,2652,11.4,84444
Kermanshah Province,365.2,3652,15.6,73142
Khuzestan Province,360.6,3606,15.5,170402
Kohgiluye and Buyer Ahmad Province,561.1,5611,24.0,40851
Kurdistan Province,384.4,3844,16.5,62039
Lorestan Province,485.5,4855,20.8,86604
Markazi Province,171.6,1716,7.4,24636
Mazandaran Province,452.7,4527,19.4,149482
North Khorasan Province,518.0,5180,22.2,44960
Qazvin Province,190.5,1905,8.2,24461
Qom Province,150.0,1500,5.0,19500
Razavi Khorasan,176.4,1764,7.6,113672
Semnan Province,208.9,2089,9.0,14933
Sistan and Baluchestan Province,455.3,4553,19.5,126449
South Khorasan Province,230.6,2306,9.9,18127
Tehran Province,150.0,1500,5.0,199845
West Azerbaijan Province,503.2,5032,21.6,164946
Yazd Province,179.0,1790,7.7,20694
Zanjan Province,476.8,4768,20.4,52589
