Province,Primary Incidence Metric,Primary Prevalence Metric,Key Mortality Metric,Global Burden (2019)
Alborz Province,4.6,180,2.5,4914
Ardabil Province,5.8,270,5.2,3466
Bushehr Province,5.1,225,4.1,2641
Chaharmahal and Bakhtiyari Province,5.3,252,5.0,2451
East Azerbaijan Province,6.0,261,4.5,10244
Fars Province,5.2,207,3.0,10151
Gilan Province,6.5,288,5.2,7332
Golestan Province,5.4,252,4.9,4770
Hamadan Province,5.9,270,5.0,4741
Hormozgan Province,4.4,198,3.7,3575
Ilam Province,5.2,252,5.2,1489
Isfahan Province,5.5,225,3.5,11556
Kerman Province,5.5,243,4.4,7737
Kermanshah Province,5.5,252,4.7,5047
Khuzestan Province,5.3,225,3.8,10631
Kohgiluye and Buyer Ahmad Province,5.8,288,6.1,2096
Kurdistan Province,5.4,252,4.9,4067
Lorestan Province,5.8,270,5.2,4816
Markazi Province,5.6,243,4.2,3489
Mazandaran Province,6.6,288,5.0,9509
North Khorasan Province,5.5,261,5.2,2265
Qazvin Province,5.1,225,4.1,2889
Qom Province,4.3,180,2.9,2340
Razavi Khorasan,5.3,225,3.8,14498
Semnan Province,5.5,243,4.4,1737
Sistan and Baluchestan Province,4.3,216,4.6,5998
South Khorasan Province,5.2,252,5.2,1980
Tehran Province,4.7,162,2.0,21583
West Azerbaijan Province,5.5,252,4.7,8260
Yazd Province,5.6,243,4.2,2809
Zanjan Province,5.8,270,5.2,2978
